,Unnamed: 0,iso_code,continent,location,total_cases,total_deaths,median_age,population,percentage,GDP ($ per capita),Net migration,Infant mortality (per 1000 births),Area (sq. mi.)
0,0,AFG,Asia,Afghanistan,52330.0,2189.0,18.6,41128772.0,0.005322308188535267%,,,,
1,1,ALB,Europe,Albania,57146.0,1170.0,38.0,2842318.0,0.04116358549606342%,,,,
2,2,DZA,Africa,Algeria,99311.0,2751.0,29.1,44903228.0,0.006126508321406203%,,,,
3,3,ASM,Oceania,American Samoa,0,0,27.2,44295.0,nan%,,,,
4,4,AND,Europe,Andorra,7983.0,84.0,,79843.0,0.10520646769284722%,,,,
5,5,AGO,Africa,Angola,17433.0,405.0,16.8,35588996.0,0.0011379922041071346%,,,,
6,6,AIA,North America,Anguilla,13.0,12.0,36.2,15877.0,nan%,,,,
7,7,ATG,North America,Antigua and Barbuda,158.0,5.0,32.1,93772.0,0.005332082071407243%,,,,
8,8,ARG,South America,Argentina,1674319.0,48271.0,31.9,45510324.0,0.106066043388309%,,,,
9,9,ARM,Asia,Armenia,159409.0,2823.0,35.7,2780472.0,0.10152952448361287%,,,,
10,10,ABW,North America,Aruba,5373.0,49.0,41.2,106459.0,0.04602710902788867%,,,,
11,11,AUS,Oceania,Australia,28381.0,920.0,37.9,26177410.0,0.0035144806151563507%,,,,
12,12,AUT,Europe,Austria,352657.0,7377.0,44.4,8939617.0,0.08252031378972947%,,,,
13,13,AZE,Asia,Azerbaijan,216584.0,2575.0,32.4,10358078.0,0.024859824380546274%,,,,
14,14,BHS,North America,Bahamas,7857.0,170.0,34.3,409989.0,0.04146452709706846%,,,,
15,15,BHR,Asia,Bahrain,92169.0,351.0,32.4,1472237.0,0.02384127012159048%,,,,
16,16,BGD,Asia,Bangladesh,513510.0,7559.0,27.5,171186368.0,0.004415655340032683%,,,,
17,17,BRB,North America,Barbados,372.0,7.0,39.8,281646.0,0.002485389460528465%,,,,
18,18,BLR,Europe,Belarus,192361.0,1414.0,40.3,9534956.0,0.014829643681627896%,,,,
19,19,BEL,Europe,Belgium,645277.0,19674.0,41.8,11655923.0,0.1687897217577707%,,,,
20,20,BLZ,North America,Belize,10668.0,241.0,25.0,405285.0,0.05946432757195554%,,,,
21,21,BEN,Africa,Benin,3251.0,44.0,18.8,13352864.0,0.00032951732302523263%,,,,
22,22,BMU,North America,Bermuda,595.0,10.0,46.0,64207.0,0.015574625819614685%,,,,
23,23,BTN,Asia,Bhutan,670.0,0.0,28.6,782457.0,nan%,,,,
24,24,BOL,South America,Bolivia,156887.0,9135.0,25.4,12224114.0,0.07472934234742902%,,,,
25,25,BES,North America,Bonaire Sint Eustatius and Saba,186.0,3.0,,27052.0,0.011089753068165016%,,,,
26,26,BIH,Europe,Bosnia and Herzegovina,110985.0,4050.0,42.5,3233530.0,0.1252501136528809%,,,,
27,27,BWA,Africa,Botswana,14637.0,43.0,25.8,2630300.0,0.001634794510131924%,,,,
28,28,BRA,South America,Brazil,7563551.0,192681.0,33.5,215313504.0,0.08948858126427593%,,,,
29,29,VGB,North America,British Virgin Islands,93.0,1.0,,31332.0,0.0031916251755393847%,,,,
30,30,BRN,Asia,Brunei,157.0,3.0,32.4,449002.0,0.0006681484714990134%,,,,
31,31,BGR,Europe,Bulgaria,201220.0,7515.0,44.7,6781955.0,0.11080875647213818%,,,,
32,32,BFA,Africa,Burkina Faso,6707.0,85.0,17.6,22673764.0,0.0003748826176368423%,,,,
33,33,BDI,Africa,Burundi,818.0,2.0,17.5,12889583.0,1.5516405767354926e-05%,,,,
34,34,KHM,Asia,Cambodia,366.0,0.0,25.6,16767851.0,nan%,,,,
35,35,CMR,Africa,Cameroon,26848.0,448.0,18.8,27914542.0,0.0016048982641377386%,,,,
36,36,CAN,North America,Canada,565504.0,15274.0,41.4,38454328.0,0.03971984635903662%,,,,
37,37,CPV,Africa,Cape Verde,11793.0,112.0,25.7,593162.0,0.018881856895755292%,,,,
38,38,CYM,North America,Cayman Islands,326.0,2.0,,68722.0,0.0029102761852099765%,,,,
39,39,CAF,Africa,Central African Republic,5818.0,63.0,18.3,5579148.0,0.0011292046742620917%,,,,
40,40,TCD,Africa,Chad,2077.0,105.0,16.7,17723312.0,0.0005924400586075559%,,,,
41,41,CHL,South America,Chile,605950.0,16499.0,35.4,19603736.0,0.08416252901997864%,,,,
42,42,CHN,Asia,China,96673.0,4788.0,38.7,1425887360.0,0.00033579090006099783%,,,,
43,43,COL,South America,Colombia,1614822.0,42620.0,32.2,51874028.0,0.08216057561599033%,,,,
44,44,COM,Africa,Comoros,695.0,9.0,20.4,836783.0,0.0010755476628946813%,,,,
45,45,COG,Africa,Congo,6431.0,100.0,19.0,5970430.0,0.0016749212368288382%,,,,
46,46,COK,Oceania,Cook Islands,0.0,0.0,37.0,17032.0,nan%,,,,
47,47,CRI,North America,Costa Rica,166799.0,2156.0,33.6,5180836.0,0.041614905393646894%,,,,
48,48,CIV,Africa,Cote d'Ivoire,22250.0,138.0,18.7,28160548.0,0.0004900472817503409%,,,,
49,49,HRV,Europe,Croatia,208446.0,3860.0,44.0,4030361.0,0.09577305854239856%,,,,
50,50,CUB,North America,Cuba,11687.0,145.0,43.1,11212198.0,0.001293234386335311%,,,,
51,51,CUW,North America,Curacao,4179.0,14.0,41.7,191173.0,0.00732320986750221%,,,,
52,52,CYP,Europe,Cyprus,22347.0,122.0,37.3,896007.0,0.013615965053844447%,,,,
53,53,CZE,Europe,Czechia,723575.0,11888.0,43.3,10493990.0,0.11328388915941412%,,,,
54,54,COD,Africa,Democratic Republic of Congo,17657.0,591.0,17.0,99010216.0,0.0005969081008771863%,,,,
55,55,DNK,Europe,Denmark,161230.0,1256.0,42.3,5882259.0,0.02135234099688572%,,,,
56,56,DJI,Africa,Djibouti,5813.0,61.0,25.4,1120851.0,0.005442293400282464%,,,,
57,57,DMA,North America,Dominica,96.0,0.0,26.8,72758.0,nan%,,,,
58,58,DOM,North America,Dominican Republic,169579.0,2409.0,27.6,11228821.0,0.021453721632930117%,,,,
59,59,ECU,South America,Ecuador,211512.0,14023.0,28.1,18001002.0,0.07790121905436154%,,,,
60,60,EGY,Africa,Egypt,135233.0,7520.0,25.3,110990096.0,0.006775379309519653%,,,,
61,61,SLV,North America,El Salvador,45960.0,1327.0,27.6,6336393.0,0.020942514140142508%,,,,
62,62,OWID_ENG,Europe,England,,,,56550000.0,nan%,,,,
63,63,GNQ,Africa,Equatorial Guinea,5277.0,86.0,22.4,1674916.0,0.0051345858538577455%,,,,
64,64,ERI,Africa,Eritrea,1252.0,1.0,19.3,3684041.0,2.7144106159513427e-05%,,,,
65,65,EST,Europe,Estonia,28008.0,229.0,42.7,1326064.0,0.017269151413506437%,,,,
66,66,SWZ,Africa,Eswatini,9144.0,185.0,21.5,1201680.0,0.01539511350775581%,,,,
67,67,ETH,Africa,Ethiopia,123856.0,1918.0,19.8,123379928.0,0.001554547835365895%,,,,
68,68,FRO,Europe,Faeroe Islands,608.0,,,53117.0,nan%,,,,
69,69,FLK,South America,Falkland Islands,29.0,,,3801.0,nan%,,,,
70,70,FJI,Oceania,Fiji,49.0,2.0,28.6,929769.0,0.00021510719329209728%,,,,
71,71,FIN,Europe,Finland,36172.0,587.0,42.8,5540745.0,0.010594243192928026%,,,,
72,72,FRA,Europe,France,2564972.0,64004.0,42.0,67813000.0,0.09438308288971141%,,,,
73,73,GUF,South America,French Guiana,13045.0,71.0,25.3,304568.0,0.023311707073625593%,,,,
74,74,PYF,Oceania,French Polynesia,16851.0,114.0,32.7,306292.0,0.037219385423060344%,,,,
75,75,GAB,Africa,Gabon,9571.0,64.0,23.1,2388997.0,0.002678948529445621%,,,,
76,76,GMB,Africa,Gambia,3800.0,124.0,17.5,2705995.0,0.004582417927601492%,,,,
77,77,GEO,Asia,Georgia,227420.0,2505.0,38.7,3744385.0,0.0669001718573277%,,,,
78,78,DEU,Europe,Germany,1734483.0,50445.0,46.6,83369840.0,0.06050749287752022%,,,,
79,79,GHA,Africa,Ghana,55064.0,335.0,21.1,33475870.0,0.0010007208177113844%,,,,
80,80,GIB,Europe,Gibraltar,1785.0,6.0,42.2,32677.0,0.018361538696942802%,,,,
81,81,GRC,Europe,Greece,137918.0,4788.0,45.3,10384972.0,0.04610508338395135%,,,,
82,82,GRL,North America,Greenland,27.0,0.0,34.3,56494.0,nan%,,,,
83,83,GRD,North America,Grenada,128.0,0.0,29.4,125459.0,nan%,,,,
84,84,GLP,North America,Guadeloupe,8620.0,155.0,43.4,395762.0,0.039164952673576545%,,,,
85,85,GUM,Oceania,Guam,7129.0,121.0,31.4,171783.0,0.07043770338159189%,,,,
86,86,GTM,North America,Guatemala,137166.0,4803.0,22.9,17843914.0,0.026916740351920546%,,,,
87,87,GGY,Europe,Guernsey,298.0,16.0,39.3,63329.0,0.02526488654486886%,,,,
88,88,GIN,Africa,Guinea,13722.0,81.0,19.0,13859349.0,0.0005844430355278592%,,,,
89,89,GNB,Africa,Guinea-Bissau,2452.0,45.0,19.4,2105580.0,0.002137178354657624%,,,,
90,90,GUY,South America,Guyana,6301.0,164.0,26.3,808727.0,0.02027878381703591%,,,,
91,91,HTI,North America,Haiti,9999.0,236.0,24.3,11585003.0,0.0020371164340656626%,,,,
92,92,HND,North America,Honduras,120912.0,3111.0,24.9,10432858.0,0.02981924991215255%,,,,
93,93,HKG,Asia,Hong Kong,1000,143,44.8,7488863.0,nan%,,,,
94,94,HUN,Europe,Hungary,322514.0,9537.0,43.4,9967304.0,0.09568284462879832%,,,,
95,95,ISL,Europe,Iceland,5247.0,30.0,37.3,372903.0,0.008044987570494204%,,,,
96,96,IND,Asia,India,10266674.0,148738.0,28.2,1417173120.0,0.010495400872407176%,,,,
97,97,IDN,Asia,Indonesia,743198.0,22138.0,29.3,275501344.0,0.00803553248727527%,,,,
98,98,IRN,Asia,Iran,1212481.0,54946.0,32.4,88550568.0,0.0620504207268326%,,,,
99,99,IRQ,Asia,Iraq,593541.0,12800.0,20.0,44496124.0,0.02876655054269446%,,,,
100,100,IRL,Europe,Ireland,89517.0,2264.0,38.7,5023108.0,0.04507169664677726%,,,,
101,101,IMN,Europe,Isle of Man,379.0,35.0,43,84534.0,0.04140345896325739%,,,,
102,102,ISR,Asia,Israel,419661.0,3336.0,30.6,9449000.0,0.03530532331463647%,,,,
103,103,ITA,Europe,Italy,2083689.0,73604.0,47.9,59037472.0,0.12467335999752835%,,,,
104,104,JAM,North America,Jamaica,12793.0,302.0,31.4,2827382.0,0.010681259200207118%,,,,
105,105,JPN,Asia,Japan,230304.0,3414.0,48.2,123951696.0,0.0027542987390830054%,,,,
106,106,JEY,Europe,Jersey,2727.0,42.0,37.5,110796.0,0.03790750568612585%,,,,
107,107,JOR,Asia,Jordan,291393.0,3801.0,23.2,11285875.0,0.03367926722562495%,,,,
108,108,KAZ,Asia,Kazakhstan,200443.0,2749.0,30.6,19397998.0,0.014171565539907777%,,,,
109,109,KEN,Africa,Kenya,96251.0,1667.0,20.0,54027484.0,0.003085466648789346%,,,,
110,110,KIR,Oceania,Kiribati,0.0,0.0,23.2,131237.0,nan%,,,,
111,111,OWID_KOS,Europe,Kosovo,51101.0,1322.0,,1782115.0,0.07418152027226077%,,,,
112,112,KWT,Asia,Kuwait,150093.0,932.0,33.7,4268886.0,0.021832393743941626%,,,,
113,113,KGZ,Asia,Kyrgyzstan,81034.0,1355.0,26.3,6630621.0,0.02043549163796272%,,,,
114,114,LAO,Asia,Laos,41.0,0.0,24.4,7529477.0,nan%,,,,
115,115,LVA,Europe,Latvia,40904.0,635.0,43.9,1850654.0,0.03431219449989031%,,,,
116,116,LBN,Asia,Lebanon,175118.0,1430.0,31.1,5489744.0,0.026048573485393852%,,,,
117,117,LSO,Africa,Lesotho,2577.0,64.0,22.2,2305826.0,0.0027755780358101607%,,,,
118,118,LBR,Africa,Liberia,1854.0,89.0,19.2,5302690.0,0.0016783934191891285%,,,,
119,119,LBY,Africa,Libya,99935.0,1459.0,29.0,6812344.0,0.02141700419121524%,,,,
120,120,LIE,Europe,Liechtenstein,2223.0,44.0,43.7,39355.0,0.11180282048024394%,,,,
121,121,LTU,Europe,Lithuania,145051.0,1800.0,43.5,2750058.0,0.06545316498779298%,,,,
122,122,LUX,Europe,Luxembourg,46334.0,502.0,39.7,647601.0,0.07751686609501839%,,,,
123,123,MDG,Africa,Madagascar,17714.0,261.0,19.6,29611718.0,0.0008814078264557294%,,,,
124,124,MWI,Africa,Malawi,6471.0,189.0,18.1,20405318.0,0.0009262291330132665%,,,,
125,125,MYS,Asia,Malaysia,110485.0,463.0,29.9,33938216.0,0.001364243777575109%,,,,
126,126,MDV,Asia,Maldives,13757.0,48.0,30.6,523798.0,0.009163837968071662%,,,,
127,127,MLI,Africa,Mali,7029.0,269.0,16.4,22593598.0,0.0011906027539305604%,,,,
128,128,MLT,Europe,Malta,12774.0,219.0,42.4,533293.0,0.04106560558642247%,,,,
129,129,MHL,Oceania,Marshall Islands,4.0,0.0,25.5,41593.0,nan%,,,,
130,130,MTQ,North America,Martinique,6072.0,42.0,45.7,367512.0,0.011428198262913865%,,,,
131,131,MRT,Africa,Mauritania,14191.0,340.0,20.3,4736146.0,0.007178832747132372%,,,,
132,132,MUS,Africa,Mauritius,527.0,10.0,37.4,1299478.0,0.0007695397690457244%,,,,
133,133,MYT,Africa,Mayotte,5890.0,55.0,20.1,326113.0,0.016865319689800776%,,,,
134,134,MEX,North America,Mexico,1496067.0,147623.0,29.3,127504120.0,0.11577900384709136%,,,,
135,135,FSM,Oceania,Micronesia (country),,,23.0,114178.0,nan%,,,,
136,136,MDA,Europe,Moldova,143841.0,3110.0,37.6,3272993.0,0.09502006267657767%,,,,
137,137,MCO,Europe,Monaco,726.0,3.0,55.4,36491.0,0.008221205228686525%,,,,
138,138,MNG,Asia,Mongolia,1215.0,1.0,28.6,3398373.0,2.9425845838582166e-05%,,,,
139,139,MNE,Europe,Montenegro,47668.0,677.0,39.1,627082.0,0.10796036244063775%,,,,
140,140,MSR,North America,Montserrat,13.0,1.0,35.6,4413.0,0.022660321776569226%,,,,
141,141,MAR,Africa,Morocco,435189.0,7314.0,29.6,37457976.0,0.019525881483826033%,,,,
142,142,MOZ,Africa,Mozambique,18485.0,165.0,17.7,32969520.0,0.0005004622451282275%,,,,
143,143,MMR,Asia,Myanmar,124630.0,2682.0,29.1,54179312.0,0.004950228973007262%,,,,
144,144,NAM,Africa,Namibia,23932.0,208.0,22.0,2567024.0,0.00810276803021709%,,,,
145,145,NRU,Oceania,Nauru,0.0,0.0,28.2,12691.0,nan%,,,,
146,146,NPL,Asia,Nepal,260593.0,2758.0,25.0,30547586.0,0.009028536657528357%,,,,
147,147,NLD,Europe,Netherlands,785874.0,11296.0,43.2,17564020.0,0.06431329502016053%,,,,
148,148,NCL,Oceania,New Caledonia,38.0,0.0,33.4,289959.0,nan%,,,,
149,149,NZL,Oceania,New Zealand,1807.0,25.0,37.9,5185289.0,0.0004821332041473484%,,,,
150,150,NIC,North America,Nicaragua,4829.0,165.0,27.3,6948395.0,0.0023746491096145227%,,,,
151,151,NER,Africa,Niger,3208.0,101.0,15.1,26207982.0,0.000385378775061735%,,,,
152,152,NGA,Africa,Nigeria,86576.0,1278.0,18.1,218541216.0,0.0005847867159300514%,,,,
153,153,NIU,Oceania,Niue,,,,1952.0,nan%,,,,
154,154,PRK,Asia,North Korea,,,35.3,26069416.0,nan%,,,,
155,155,MKD,Europe,North Macedonia,83329.0,2503.0,39.1,2093606.0,0.11955449115067496%,,,,
156,156,OWID_NIR,Europe,Northern Ireland,,,,1896000.0,nan%,,,,
157,157,MNP,Oceania,Northern Mariana Islands,122.0,2.0,,49574.0,0.0040343728567394195%,,,,
158,158,NOR,Europe,Norway,49785.0,436.0,39.7,5434324.0,0.0080230770193312%,,,,
159,159,OMN,Asia,Oman,128633.0,1497.0,30.7,4576300.0,0.03271201625767542%,,,,
160,160,PAK,Asia,Pakistan,477240.0,10047.0,23.5,235824864.0,0.004260365013928302%,,,,
161,161,PLW,Oceania,Palau,0.0,0.0,33.9,18084.0,nan%,,,,
162,162,PSE,Asia,Palestine,152558.0,1479.0,20.4,5250076.0,0.028171020762366106%,,,,
163,163,PAN,North America,Panama,238279.0,3933.0,29.7,4408582.0,0.0892123589852701%,,,,
164,164,PNG,Oceania,Papua New Guinea,780.0,9.0,22.6,10142625.0,8.873442525973306e-05%,,,,
165,165,PRY,South America,Paraguay,106136.0,2220.0,26.5,6780745.0,0.032739765320772274%,,,,
166,166,PER,South America,Peru,1010496.0,93066.0,29.1,34049588.0,0.2733248930941543%,,,,
167,167,PHL,Asia,Philippines,472523.0,9230.0,25.2,115559008.0,0.007987261365206597%,,,,
168,168,PCN,Oceania,Pitcairn,,,,47.0,nan%,,,,
169,169,POL,Europe,Poland,1297400.0,28642.0,41.8,39857144.0,0.0718616466849707%,,,,
170,170,PRT,Europe,Portugal,386655.0,6842.0,46.2,10270857.0,0.06661566800121937%,,,,
171,171,PRI,North America,Puerto Rico,81082.0,1666.0,38.2,3252412.0,0.051223522727132965%,,,,
172,172,QAT,Asia,Qatar,143428.0,245.0,31.9,2695131.0,0.009090467216621382%,,,,
173,173,REU,Africa,Reunion,8972.0,42.0,36.0,974062.0,0.004311840519391989%,,,,
174,174,ROU,Europe,Romania,627941.0,15596.0,43.0,19659270.0,0.0793315316387638%,,,,
175,175,RUS,Europe,Russia,3159297.0,57019.0,39.6,144713312.0,0.039401350996651915%,,,,
176,176,RWA,Africa,Rwanda,8250.0,86.0,20.3,13776702.0,0.0006242422896278079%,,,,
177,177,BLM,North America,Saint Barthelemy,189.0,,,10994.0,nan%,,,,
178,178,SHN,Africa,Saint Helena,0.0,0.0,49.3,5401.0,nan%,,,,
179,179,KNA,North America,Saint Kitts and Nevis,32.0,,,47681.0,nan%,,,,
180,180,LCA,North America,Saint Lucia,340.0,5.0,34.9,179872.0,0.0027797544920832593%,,,,
181,181,MAF,North America,Saint Martin (French part),986.0,12.0,,31816.0,0.037716872014080964%,,,,
182,182,SPM,North America,Saint Pierre and Miquelon,16.0,,,5885.0,nan%,,,,
183,183,VCT,North America,Saint Vincent and the Grenadines,115.0,0.0,31.8,103959.0,nan%,,,,
184,184,WSM,Oceania,Samoa,1.0,0.0,22.0,222390.0,nan%,,,,
185,185,SMR,Europe,San Marino,2401.0,59.0,45.7,33690.0,0.1751261501929356%,,,,
186,186,STP,Africa,Sao Tome and Principe,1014.0,17.0,18.7,227393.0,0.007476043677685769%,,,,
187,187,SAU,Asia,Saudi Arabia,362488.0,6204.0,31.9,36408824.0,0.017039825290704254%,,,,
188,188,OWID_SCT,Europe,Scotland,,,,5466000.0,nan%,,,,
189,189,SEN,Africa,Senegal,18945.0,402.0,18.7,17316452.0,0.0023214917235932623%,,,,
190,190,SRB,Europe,Serbia,334991.0,3163.0,41.2,6871547.0,0.046030391700733475%,,,,
191,191,SYC,Africa,Seychelles,226.0,0.0,36.2,107135.0,nan%,,,,
192,192,SLE,Africa,Sierra Leone,2583.0,76.0,19.1,8605723.0,0.0008831332358710594%,,,,
193,193,SGP,Asia,Singapore,58569.0,29.0,42.4,5637022.0,0.0005144560372480363%,,,,
194,194,SXM,North America,Sint Maarten (Dutch part),1423.0,27.0,,44192.0,0.06109703113685735%,,,,
195,195,SVK,Europe,Slovakia,179543.0,2138.0,41.2,5643455.0,0.03788459374620689%,,,,
196,196,SVN,Europe,Slovenia,122262.0,2981.0,44.5,2119843.0,0.14062362165499992%,,,,
197,197,SLB,Oceania,Solomon Islands,17.0,0.0,20.8,724272.0,nan%,,,,
198,198,SOM,Africa,Somalia,4690.0,127.0,16.8,17597508.0,0.0007216930942722117%,,,,
199,199,ZAF,Africa,South Africa,1039161.0,28033.0,27.3,59893884.0,0.04680444500810801%,,,,
200,200,KOR,Asia,South Korea,60722.0,900.0,43.4,51815808.0,0.0017369216745592388%,,,,
201,201,SSD,Africa,South Sudan,3540.0,64.0,19.2,10913172.0,0.0005864472767404381%,,,,
202,202,ESP,Europe,Spain,1955216.0,54459.0,45.5,47558632.0,0.1145091810041971%,,,,
203,203,LKA,Asia,Sri Lanka,43299.0,204.0,34.1,21832150.0,0.00093440178818852%,,,,
204,204,SDN,Africa,Sudan,25238.0,1549.0,19.7,46874200.0,0.003304589731664754%,,,,
205,205,SUR,South America,Suriname,6098.0,120.0,29.6,618046.0,0.01941603052199998%,,,,
206,206,SWE,Europe,Sweden,447759.0,9706.0,41.0,10549349.0,0.09200567731715009%,,,,
207,207,CHE,Europe,Switzerland,451142.0,7528.0,43.1,8740471.0,0.08612808165601143%,,,,
208,208,SYR,Asia,Syria,11243.0,696.0,21.7,22125242.0,0.0031457283043502984%,,,,
209,209,TWN,Asia,Taiwan,890.0,7.0,42.2,23893396.0,nan%,,,,
210,210,TJK,Asia,Tajikistan,13665.0,90.0,23.3,9952789.0,0.0009042691450607463%,,,,
211,211,TZA,Africa,Tanzania,509.0,21.0,17.7,65497752.0,3.206216909551338e-05%,,,,
212,212,THA,Asia,Thailand,6884.0,61.0,40.1,71697024.0,8.508023987160193e-05%,,,,
213,213,TLS,Asia,Timor,44.0,,18.0,1341298.0,nan%,,,,
214,214,TGO,Africa,Togo,3611.0,68.0,19.4,8848700.0,0.0007684744651756755%,,,,
215,215,TKL,Oceania,Tokelau,,,,1893.0,nan%,,,,
216,216,TON,Oceania,Tonga,0.0,0.0,22.3,106867.0,nan%,,,,
217,217,TTO,North America,Trinidad and Tobago,7132.0,126.0,36.2,1531043.0,0.00822968394747894%,,,,
218,218,TUN,Africa,Tunisia,137216.0,4620.0,32.7,12356116.0,0.037390390313590455%,,,,
219,219,TUR,Asia,Turkey,2194272.0,20642.0,31.6,85341248.0,0.02418760035006753%,,,,
220,220,TKM,Asia,Turkmenistan,0.0,0.0,26.9,6430777.0,nan%,,,,
221,221,TCA,North America,Turks and Caicos Islands,865.0,6.0,,45726.0,0.01312163758037003%,,,,
222,222,TUV,Oceania,Tuvalu,0.0,0.0,26.6,11335.0,nan%,,,,
223,223,UGA,Africa,Uganda,35220.0,304.0,16.4,47249588.0,0.0006433918534908706%,,,,
224,224,UKR,Europe,Ukraine,1055047.0,18533.0,41.4,39701744.0,0.04668056899465172%,,,,
225,225,ARE,Asia,United Arab Emirates,204369.0,662.0,34.0,9441138.0,0.007011866577948548%,,,,
226,226,GBR,Europe,United Kingdom,2563565.0,93414.0,40.8,67508936.0,0.13837279260333774%,,,,
227,227,USA,North America,United States,19577585.0,352004.0,38.3,338289856.0,0.10405396252851282%,,,,
228,228,VIR,North America,United States Virgin Islands,2010.0,23.0,42.2,99479.0,0.023120457584012707%,,,,
229,229,URY,South America,Uruguay,17962.0,168.0,35.6,3422796.0,0.004908267977407944%,,,,
230,230,UZB,Asia,Uzbekistan,77060.0,614.0,28.2,34627648.0,0.0017731495942202022%,,,,
231,231,VUT,Oceania,Vanuatu,1.0,0.0,23.1,326744.0,nan%,,,,
232,232,VAT,Europe,Vatican,26.0,,,808.0,nan%,,,,
233,233,VEN,South America,Venezuela,112861.0,1021.0,29.0,28301700.0,0.003607557143210478%,,,,
234,234,VNM,Asia,Vietnam,1456.0,35.0,32.6,98186856.0,3.564631909590832e-05%,,,,
235,235,OWID_WLS,Europe,Wales,,,,3170000.0,nan%,,,,
236,236,WLF,Oceania,Wallis and Futuna,4.0,0.0,34.0,11596.0,nan%,,,,
237,237,YEM,Asia,Yemen,2100.0,611.0,20.3,33696612.0,0.00181323867218461%,,,,
238,238,ZMB,Africa,Zambia,20462.0,386.0,17.7,20017670.0,0.0019282963501746208%,,,,
239,239,ZWE,Africa,Zimbabwe,13625.0,360.0,19.6,16320539.0,0.002205809501757264%,,,,
240,COD,Africa,Democratic Republic of the Congo,17657.0,591.0,17.0,99010216.0,2345410,"26,7",0,"94,69",700.0
241,COG,Africa,Republic of Congo,6431.0,100.0,19.0,5970430.0,342000,"10,8","-0,17","93,86",700.0